iter	RMSE
0	4445745.366
1	4271257.605
2	4118218.955
3	3975496.225
4	3853019.035
5	3747492.273
6	3642785.672
7	3564338.039
8	3487894.439
9	3413957.565
10	3356096.808
11	3304976.203
12	3256226.964
13	3204111.02
14	3162372.127
15	3126654.739
16	3097861.056
17	3067083.307
18	3040301.824
19	3011274.043
20	2985422.555
21	2963869.633
22	2946167.736
23	2925493.651
24	2906715.374
25	2889936.679
26	2875292.625
27	2864059.393
28	2852163.727
29	2841133.514
30	2829974.245
31	2816732.92
32	2807315.511
33	2797955.82
34	2790390.046
35	2783123.105
36	2775447.918
37	2769573.313
38	2761288.381
39	2754116.398
40	2748476.861
41	2743377.783
42	2738966.842
43	2732468.068
44	2725675.375
45	2719224.739
46	2715693.655
47	2712167.809
48	2708706.732
49	2705361.04
50	2702709.747
51	2698092.954
52	2694397.874
53	2687211.765
54	2683658.675
55	2681030.468
56	2677037.888
57	2674402.618
58	2672429.613
59	2670211.971
60	2665186.101
61	2662795.452
62	2660596.32
63	2657021.504
64	2655420.568
65	2653292.656
66	2651438.817
67	2649778.861
68	2644913.937
69	2642621.429
70	2640523.445
71	2639203.827
72	2638192.843
73	2636438.599
74	2635106.538
75	2633808.926
76	2629822.804
77	2626093.664
78	2624316.189
79	2622522.051
80	2620929.419
81	2616825.197
82	2615769.418
83	2614147.553
84	2613009.074
85	2611897.426
86	2610231.779
87	2608523.014
88	2607370.062
89	2605211.995
90	2602752.882
91	2600999.975
92	2598713.228
93	2596226.392
94	2595285.512
95	2593730.325
96	2592847.303
97	2591808.181
98	2590592.52
99	2589669.643
100	2588659.151
101	2587894.518
102	2586692.174
103	2585281.689
104	2584571.291
105	2583680.647
106	2582464.818
107	2580481.01
108	2579414.219
109	2577953.464
110	2577193.957
111	2576247.648
112	2575452.692
113	2572278.86
114	2571311.367
115	2570270.856
116	2569749.393
117	2568751.942
118	2568027.465
119	2566889.271
120	2564673.098
121	2563646.9
122	2562513.445
123	2561771.678
124	2561016.512
125	2560445.248
126	2559695.38
127	2558880.483
128	2557919.612
129	2556942.187
130	2556395.588
131	2555510.179
132	2552952.475
133	2552081.171
134	2551317.728
135	2550220.658
136	2549634.355
137	2548750.183
