iter	Passed	Remaining
0	139	139232
1	266	132994
2	362	120306
3	448	111665
4	538	107140
5	625	103705
6	721	102324
7	813	100815
8	898	98892
9	988	97889
10	1079	97018
11	1152	94891
12	1240	94198
13	1322	93157
14	1413	92847
15	1499	92214
16	1585	91672
17	1667	90991
18	1751	90418
19	1838	90076
20	1926	89795
21	2011	89430
22	2080	88372
23	2156	87691
24	2275	88758
25	2359	88392
26	2446	88150
27	2518	87411
28	2599	87051
29	2679	86626
30	2763	86395
31	2860	86521
32	2937	86074
33	3020	85824
34	3093	85299
35	3176	85059
36	3268	85060
37	3332	84372
38	3419	84256
39	3518	84437
40	3597	84136
41	3680	83946
42	3747	83401
43	3836	83348
44	3910	82991
45	3989	82742
46	4072	82581
47	4152	82362
48	4237	82247
49	4308	81860
50	4387	81650
51	4461	81335
52	4549	81285
53	4633	81168
54	4724	81174
55	4796	80851
56	4874	80642
57	4958	80527
58	5031	80247
59	5107	80025
60	5184	79811
61	5271	79746
62	5338	79393
63	5430	79420
64	5516	79355
65	5599	79240
66	5676	79044
67	5750	78812
68	5841	78812
69	5911	78544
70	5968	78098
71	6038	77827
72	6101	77484
73	6170	77220
74	6240	76969
75	6316	76792
76	6394	76651
77	6477	76565
78	6566	76549
79	6635	76303
80	6712	76158
81	6807	76205
82	6901	76252
83	6981	76128
84	7058	75978
85	7131	75790
86	7208	75647
87	7286	75517
88	7359	75328
89	7446	75290
90	7512	75043
91	7584	74855
92	7658	74689
93	7741	74611
94	7822	74517
95	7907	74458
96	7979	74280
97	8047	74070
98	8115	73858
99	8178	73604
100	8253	73465
101	8314	73202
102	8389	73062
103	8461	72900
104	8526	72677
105	8632	72804
106	8746	72995
107	8839	73005
108	8911	72849
109	9000	72825
110	9065	72603
111	9134	72422
112	9273	72792
113	9427	73272
114	9510	73188
115	9597	73136
116	9661	72916
117	9729	72720
118	9797	72534
119	9880	72460
120	9961	72366
121	10031	72192
122	10104	72048
123	10178	71904
124	10239	71675
125	10316	71560
126	10379	71345
127	10436	71099
128	10506	70941
129	10595	70911
130	10664	70745
131	10754	70721
132	10832	70615
133	10924	70600
134	11078	70982
135	11260	71535
136	11427	71983
137	11601	72466
138	11725	72630
139	11975	73565
140	12121	73849
141	12232	73909
142	12347	73999
143	12522	74441
144	12693	74850
145	12774	74719
146	12847	74553
147	12932	74451
148	13003	74269
149	13078	74114
