iter	MAE
0	3437617.114
1	3371271.9
2	3308828.895
3	3248959.886
4	3191779.005
5	3135989.851
6	3082307.279
7	3030585.542
8	2980646.272
9	2934060.345
10	2887668.343
11	2844070.904
12	2803456.963
13	2765206.964
14	2726569.393
15	2691200.202
16	2656570.313
17	2622599.978
18	2590913.915
19	2560928.965
20	2532295.437
21	2504601.719
22	2477095.346
23	2452068.494
24	2427332.704
25	2404276.853
26	2381170.082
27	2359473.388
28	2339042.798
29	2319461.936
30	2300722.774
31	2282595.202
32	2266097.839
33	2250131.594
34	2233964.645
35	2219241.829
36	2204980.058
37	2191337.408
38	2178203.715
39	2165709.142
40	2153668.225
41	2142166.358
42	2131427.788
43	2120903.273
44	2110549.651
45	2101042.319
46	2091420.161
47	2082859.323
48	2074838.035
49	2066551.142
50	2059268.258
51	2051008.016
52	2043712.204
53	2036722.617
54	2029904.825
55	2023461.45
56	2017713.222
57	2012588.706
58	2006940.276
59	2001665.95
60	1996095.861
61	1991070.02
62	1985721.795
63	1981131.985
64	1977219.017
65	1973198.702
66	1968791.417
67	1965132.137
68	1961354.623
69	1957526.792
70	1953762.444
71	1950260.469
72	1947096.138
73	1943765.194
74	1940413.896
75	1937164.135
76	1934163.932
77	1931587.674
78	1928887.933
79	1926366.084
80	1923692.823
81	1921365.414
82	1918843.997
83	1916737.392
84	1914587.17
85	1912428.299
86	1910267.183
87	1908374.327
88	1906163.255
89	1903552.909
90	1901409.232
91	1899283.197
92	1897216.231
93	1895305.455
94	1894087.728
95	1892325.338
96	1890474.509
97	1888834.948
98	1887656.052
99	1886591.486
100	1884564.953
101	1882792.272
102	1881254.393
103	1879244.437
104	1878166.389
105	1876443.528
106	1875232.405
107	1874200.728
108	1872997.544
109	1871524.355
110	1870234.784
111	1868886.923
112	1867272.639
113	1866396.151
114	1864894.312
115	1863475.267
116	1862698.227
117	1861502.668
118	1860256.362
119	1858702.215
120	1857856.908
121	1856214.982
122	1855047.988
123	1854239.405
124	1852801.788
125	1851753.611
126	1850180.884
127	1848645.722
128	1847403.103
129	1846321.028
130	1845544.894
131	1844804.99
132	1843873.682
133	1842669.49
134	1842058.926
135	1841170.777
136	1840282.053
137	1839069.498
138	1838364.853
139	1837386.347
140	1836288.468
141	1835575.159
142	1834612.036
143	1833261.397
144	1832412.382
145	1831927.056
146	1831027.806
147	1829786.104
148	1828816.433
149	1827888.351
150	1826834.791
151	1826116.992
152	1825538.225
153	1824833.34
154	1824043.455
155	1822741.073
156	1822020.169
157	1821357.957
158	1820407.728
159	1819286.483
160	1818554.573
161	1817753.098
162	1817303.294
163	1816584.167
164	1815650.893
165	1814649.461
166	1813594.408
167	1812564.45
168	1811757.058
169	1810940.279
170	1809816.865
171	1808778.313
172	1807292.838
173	1806488.065
174	1805976.869
175	1805234.462
176	1804602.644
177	1803992.434
178	1803033.938
179	1802067.14
180	1801297.001
181	1800043.69
182	1799406.227
183	1798800.978
184	1798242.17
185	1797278.599
186	1796653.933
187	1795974.249
188	1795192.067
189	1794476.769
190	1793981.657
191	1792853.136
192	1792166.324
193	1791691.84
194	1790633.051
195	1789891.836
196	1788950.092
197	1788329.483
198	1787937.768
199	1786904.61
200	1786432.403
201	1785138.113
202	1784429.835
203	1783937.67
204	1783188.649
205	1782561.549
206	1781756.413
207	1781119.938
208	1780440.124
209	1779616.778
210	1778936.174
211	1778291.101
212	1777539.069
213	1776483.21
214	1775341.249
215	1774526.857
216	1772976.154
217	1772375.056
218	1771338.123
219	1770637.595
220	1770068.253
221	1769509.82
222	1768647.148
223	1768162.957
224	1767385.257
225	1766807.214
226	1766232.522
227	1765407.794
228	1764833.565
229	1763974.125
230	1763115.183
231	1762407.452
232	1761992.37
233	1761243.062
234	1760831.804
235	1760403.136
236	1759858.296
237	1759074.668
238	1758423.822
239	1757982.58
240	1756895.972
241	1756389.753
242	1755003.217
243	1754268.04
244	1753567.018
245	1752334.743
246	1751775.597
247	1750927.947
248	1750520.387
249	1750087.686
250	1749160.522
251	1748758.151
252	1747837.826
253	1747121.825
254	1745915.472
255	1745367.169
256	1744332.276
257	1743924.412
258	1743282.426
259	1742717.73
260	1741860.532
261	1741111.868
262	1740370.8
263	1739405.111
264	1738594.165
265	1737870.686
266	1736986.539
267	1736471.766
268	1735640.73
269	1734846.238
270	1734154.13
271	1733536.905
