iter	Passed	Remaining
0	1038	622067
1	2078	621325
2	3109	618813
3	4143	617329
4	5173	615635
5	6221	615883
6	7259	614977
7	8293	613751
8	9339	613282
9	10388	612934
10	11433	612216
11	12483	611701
12	13530	610932
13	14548	608945
14	15588	607957
15	16613	606379
16	17658	605578
17	18707	604863
18	19753	604042
19	20787	602840
20	21840	602174
21	22878	601079
22	23917	600007
23	24966	599202
24	26020	598466
25	27054	597282
26	28096	596270
27	29142	595347
28	30173	594103
29	31213	593050
30	32245	591853
31	33287	590850
32	34319	589672
33	35343	588372
34	36347	586757
35	37381	585649
36	38395	584236
37	39416	582955
38	40446	581803
39	41449	580292
40	42468	579018
41	43470	577534
42	44491	576314
43	45486	574781
44	46494	573430
45	47548	572652
46	48584	571637
47	49611	570531
48	50638	569427
49	51606	567672
50	52609	566329
51	53603	564903
52	54652	564055
53	55687	563067
54	56727	562116
55	57755	561053
56	58800	560154
57	59831	559116
58	60870	558154
59	61921	557291
60	62960	556320
61	63986	555234
62	65017	554194
63	66050	553173
64	67082	552138
65	68118	551137
66	69146	550078
67	70176	549029
68	71198	547919
69	72237	546944
70	73282	546007
71	74330	545087
72	75370	544113
73	76398	543051
74	77441	542090
75	78490	541173
76	79550	540321
77	80608	539457
78	81651	538483
79	82700	537553
80	83725	536462
81	84772	535516
82	85810	534505
83	86894	533781
84	88026	533334
85	89062	532305
86	90087	531205
87	91123	530175
88	92153	529104
89	93202	528147
90	94237	527108
91	95277	526097
92	96307	525032
93	97344	524004
94	98363	522882
95	99402	521865
96	100447	520876
97	101497	519916
98	102535	518889
99	103559	517795
100	104612	516848
101	105653	515838
102	106700	514857
103	107810	514173
104	108849	513147
105	109882	512094
106	110903	510987
107	111903	509781
108	112900	508571
109	113940	507553
110	114983	506547
111	116017	505505
112	117067	504528
113	118089	503434
114	119135	502442
115	120169	501397
116	121206	500365
117	122246	499344
118	123284	498319
119	124330	497322
120	125359	496258
121	126397	495228
122	127422	494149
123	128451	493088
124	129493	492073
125	130543	491090
126	131604	490148
127	132646	489132
128	133680	488090
129	134713	487042
130	135724	485915
131	136747	484832
132	137764	483729
133	138806	482715
134	139826	481624
135	140867	480607
136	141908	479590
137	142939	478535
138	143959	477449
139	145015	476478
140	146062	475479
141	147089	474415
142	148126	473381
143	149165	472358
144	150209	471345
145	151232	470272
146	152261	469213
147	153304	468199
148	154337	467155
149	155363	466090
150	156383	465007
151	157388	463882
152	158388	462742
153	159392	461616
154	160406	460521
155	161419	459423
156	162427	458314
157	163427	457183
158	164438	456085
159	165432	454939
160	166447	453852
161	167487	452836
162	168493	451728
163	169489	450594
164	170504	449511
165	171489	448353
166	172496	447251
167	173493	446127
168	174536	445120
169	175583	444122
170	176641	443152
171	177667	442104
172	178703	441077
173	179731	440032
174	180758	438983
175	181795	437961
176	182827	436926
177	183850	435870
178	184889	434851
179	185922	433819
180	186959	432795
181	187991	431760
182	189037	430758
183	190086	429760
184	191127	428746
185	192175	427745
186	193222	426742
187	194270	425741
188	195306	424714
189	196342	423685
190	197377	422655
191	198426	421656
192	199464	420631
193	200491	419584
194	201532	418567
195	202564	417531
196	203594	416489
197	204636	415473
198	205654	414409
199	206684	413368
200	207717	412334
201	208748	411297
202	209792	410283
203	210809	409219
204	211834	408168
205	212850	407101
206	213865	406034
207	214888	404982
208	215898	403906
209	216910	402833
210	217910	401740
211	218931	400686
212	219939	399608
213	220975	398582
214	221981	397501
215	222995	396437
216	224022	395395
217	225026	394311
218	226037	393243
219	227051	392180
220	228102	391179
221	229116	390116
222	230136	389064
223	231152	388005
224	232162	386936
225	233182	385885
226	234216	384858
227	235261	383847
228	236291	382812
229	237332	381796
230	238357	380752
231	239390	379723
232	240411	378674
233	241431	377623
234	242448	376569
235	243487	375547
236	244512	374505
237	245542	373472
238	246570	372435
239	247592	371388
240	248630	370366
241	249662	369335
242	250704	368319
243	251745	367300
244	252768	366256
245	253809	365238
246	254847	364215
247	255875	363178
248	256901	362138
249	257938	361113
250	258986	360104
251	260013	359066
252	261063	358059
253	262110	357048
254	263173	356058
255	264218	355043
256	265270	354037
257	266307	353011
258	267344	351986
259	268378	350956
260	269425	349942
261	270464	348920
262	271517	347914
263	272564	346900
264	273618	345895
265	274649	344860
266	275660	343801
267	276678	342750
268	277683	341684
269	278685	340615
270	279694	339554
271	280696	338486
272	281695	337415
273	282707	336360
274	283710	335294
275	284708	334222
276	285701	333146
277	286685	332060
278	287880	331217
279	288904	330176
280	289907	329112
281	290911	328049
282	291915	326986
283	292903	325906
284	293915	324853
285	294968	323846
286	296028	322846
287	297061	321816
288	298250	320954
289	299301	319942
290	300337	318914
291	301381	317895
292	302414	316864
293	303445	315831
294	304472	314794
295	305506	313763
296	306537	312729
297	307567	311696
298	308598	310662
299	309623	309623
300	310643	308579
301	311667	307539
302	312700	306508
303	313730	305474
304	314761	304441
305	315798	303414
306	316829	302381
307	317874	301361
308	318914	300336
309	319963	299320
310	321006	298298
311	322048	297275
312	323097	296259
313	324143	295239
314	325200	294228
315	326237	293200
316	327275	292173
317	328320	291152
318	329355	290121
319	330387	289089
320	331420	288057
321	332455	287026
322	333500	286005
323	334526	284966
324	335554	283930
325	336563	282878
326	337564	281820
327	338565	280761
328	339579	279714
329	340595	278668
330	341590	277606
331	342583	276543
332	343577	275481
333	344596	274438
334	345604	273388
335	346589	272320
336	347628	271294
337	348643	270250
338	349647	269197
339	350644	268140
340	351657	267094
341	352671	266050
342	353690	265010
343	354752	264001
344	355822	262998
345	356871	261980
346	357898	260946
347	358929	259914
348	359947	258873
349	360993	257852
350	362011	256811
351	363047	255783
352	364085	254756
353	365136	253738
354	366190	252723
355	367233	251699
356	368268	250669
357	369317	249650
358	370340	248613
359	371378	247585
360	372421	246561
361	373445	245524
362	374482	244497
363	375522	243470
364	376554	242439
365	377588	241408
366	378615	240374
367	379647	239342
368	380687	238316
369	381725	237288
370	382744	236249
371	383766	235211
372	384795	234178
373	385852	233162
374	386887	232132
375	387941	231114
376	388992	230093
377	390035	229068
378	391065	228035
379	392105	227008
380	393159	225989
381	394193	224958
